,Year,Race,Sex,Average Life Expectancy (Years),Age-adjusted Death Rate,LifeExpectency,Race2
117,2014,All Races,Female,81.3,616.7,High,All Races
118,2013,All Races,Female,81.2,623.5,High,All Races
119,2012,All Races,Female,81.2,624.7,High,All Races
120,2011,All Races,Female,81.1,632.4,High,All Races
121,2010,All Races,Female,81,634.9,High,All Races
122,2009,All Races,Female,80.9,636.8,High,All Races
123,2008,All Races,Female,80.6,660,High,All Races
124,2007,All Races,Female,80.6,658.1,High,All Races
125,2006,All Races,Female,80.3,672.2,High,All Races
126,2005,All Races,Female,80.1,692.3,High,All Races
127,2004,All Races,Female,80.1,690.5,High,All Races
128,2003,All Races,Female,79.7,715.2,High,All Races
129,2002,All Races,Female,79.6,723.6,High,All Races
130,2001,All Races,Female,79.5,725.6,High,All Races
131,2000,All Races,Female,79.7,731.4,High,All Races
132,1999,All Races,Female,79.4,734,High,All Races
133,1998,All Races,Female,79.5,724.2,High,All Races
134,1997,All Races,Female,79.4,725.3,High,All Races
135,1996,All Races,Female,79.1,732.7,High,All Races
136,1995,All Races,Female,78.9,739.2,High,All Races
137,1994,All Races,Female,79,738.3,High,All Races
138,1993,All Races,Female,78.8,745.6,High,All Races
139,1992,All Races,Female,79.1,725.3,High,All Races
140,1991,All Races,Female,78.9,737.9,High,All Races
141,1990,All Races,Female,78.8,750.3,High,All Races
142,1989,All Races,Female,78.5,761.3,High,All Races
143,1988,All Races,Female,78.3,780.5,High,All Races
144,1987,All Races,Female,78.3,773.8,High,All Races
145,1986,All Races,Female,78.2,778.5,High,All Races
146,1985,All Races,Female,78.2,784.2,High,All Races
147,1984,All Races,Female,78.2,779.4,High,All Races
148,1983,All Races,Female,78.1,783.3,High,All Races
149,1982,All Races,Female,78.1,776.4,High,All Races
150,1981,All Races,Female,77.8,792.7,High,All Races
151,1980,All Races,Female,77.4,817.7,High,All Races
152,1979,All Races,Female,77.8,789.9,High,All Races
153,1978,All Races,Female,77.3,816.4,High,All Races
154,1977,All Races,Female,77.2,820.7,High,All Races
155,1976,All Races,Female,76.8,849.4,High,All Races
156,1975,All Races,Female,76.6,855.1,High,All Races
157,1974,All Races,Female,75.9,907.5,High,All Races
158,1973,All Races,Female,75.3,947.8,High,All Races
159,1972,All Races,Female,75.1,958.7,High,All Races
160,1971,All Races,Female,75,960.6,High,All Races
161,1970,All Races,Female,74.7,971.4,High,All Races
162,1969,All Races,Female,74.4,1013.4,High,All Races
163,1968,All Races,Female,74.1,1043.5,High,All Races
164,1967,All Races,Female,74.3,1020.5,High,All Races
165,1966,All Races,Female,73.9,1055.3,High,All Races
166,1965,All Races,Female,73.8,1056.1,High,All Races
167,1964,All Races,Female,73.7,1061.5,High,All Races
168,1963,All Races,Female,73.4,1098.5,High,All Races
169,1962,All Races,Female,73.5,1087.1,High,All Races
170,1961,All Races,Female,73.6,1068.5,High,All Races
171,1960,All Races,Female,73.1,1105.3,High,All Races
172,1959,All Races,Female,73.2,1093.5,High,All Races
173,1958,All Races,Female,72.9,1120.9,High,All Races
174,1957,All Races,Female,72.7,1134.5,High,All Races
175,1956,All Races,Female,72.9,1117.5,High,All Races
176,1955,All Races,Female,72.8,1121.9,High,All Races
177,1954,All Races,Female,72.8,1109.7,High,All Races
178,1953,All Races,Female,72,1172.6,High,All Races
179,1952,All Races,Female,71.6,1186.7,High,All Races
180,1951,All Races,Female,71.4,1213.4,High,All Races
181,1950,All Races,Female,71.1,1236,High,All Races
182,1949,All Races,Female,70.7,1252.6,High,All Races
183,1948,All Races,Female,69.9,1296.4,High,All Races
184,1947,All Races,Female,69.7,1332.5,High,All Races
185,1946,All Races,Female,69.4,1342.8,High,All Races
186,1945,All Races,Female,67.9,1376.8,High,All Races
187,1944,All Races,Female,66.8,1428.4,High,All Races
188,1943,All Races,Female,64.4,1507.8,High,All Races
189,1942,All Races,Female,67.9,1444.7,High,All Races
190,1941,All Races,Female,66.8,1502.4,High,All Races
